person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Alis Aanei,alisaanei,alisaanei@post.ro,6490208279532,1954-11-22,"Drumul Stan, Bocsa, 949262",0232 071 265,ee:c6:93:45:17:e6,219.242.202.123,RO68SEWK2792567995451762,2025-06-18 17:21:48,27826,543,147,59021,c8322dd2-d20c-4181-8062-5ba403926a39
Amanda Dumitrescu,amandadumitrescu,amandadumitrescu@kappa.ro,3801113396638,1994-03-02,"Intrarea Niță, Savinesti, 993981",0770 532 149,1a:cb:12:5f:cd:cb,75.192.4.194,RO35GKJS1394463041329070,2025-06-18 17:21:48,4767,368,75,509004,eef6a417-e8ab-4c13-9450-ebc8110111ad
Axinte Manole,axintemanole,axintemanole@acasa.ro,5900717104260,2021-10-14,"Drumul Dinu Nr. 806, Targu Jiu, 227754",0268 064 859,1e:a8:04:2b:15:fb,177.59.7.182,RO88TYDA3881264145680126,2025-06-18 17:21:48,6211,797,618,110121,359be98f-376f-4afd-b628-68eb75a565f6
Mina Niță,minaniță,minaniță@email.ro,5611002023581,2016-03-10,"Intrarea Codruța Ababei Nr. 160 Bl. 71  Sc. 76 Ap. 558, Strehaia, 137952",0242 575 017,36:f7:33:0e:b2:15,187.165.165.60,RO33QFIZ0052213249579765,2025-06-18 17:21:48,14903,266,141,1168195,1a07e96f-3aba-4105-b4f8-7a6154185fd0
Dumitrana Pușcașu,dumitranapușcașu,dumitranapușcașu@zzup.ro,1710916040025,1931-05-04,"Strada Diaconescu Nr. 85, Marghita, 199698",0724 772 474,92:30:96:af:94:5d,97.252.236.111,RO88JUWG4850470336781730,2025-06-18 17:21:48,22760,117,270,1425893,b8bf94b0-a608-4496-8300-6213b7b72162
Pamfil Mazilescu,pamfilmazilescu,pamfilmazilescu@zzup.ro,8060816348547,1990-01-14,"Aleea Sabin Stoica Nr. 711, Stei, 658351",0260 873 192,40:5c:f5:94:f5:f1,46.200.157.194,RO75JPPN7193751416829321,2025-06-18 17:21:48,35700,777,183,647536,726f5724-9d95-406a-8ba2-7d5d41134aad
Adelaida Stancu,adelaidastancu,adelaidastancu@141.ro,7040424513454,2000-04-24,"Soseaua Nemeș Nr. 509 Bl. 87  Sc. 11 Ap. 443, Matca, 180194",0760 907 811,b0:40:74:a3:89:21,4.103.202.128,RO68PYBM1950944607780261,2025-06-18 17:21:48,25741,453,398,103202,5ece893e-444a-46e6-9763-11b6733b8c76
Catrinel Nistor,catrinelnistor,catrinelnistor@gmail.com,6320112315300,1928-12-14,"Strada Ionescu Nr. 271 Bl. 53  Sc. 23 Ap. 615, Tuzla, 207618",0725 211 048,2e:d7:62:a9:cc:d6,138.165.8.96,RO32NZST1204382183829820,2025-06-18 17:21:48,14504,162,470,812140,a2a0ff74-976f-42e8-81d6-e8bb1f432e8a
Melania Pușcașu,melaniapușcașu,melaniapușcașu@gmail.com,8391220434231,1985-06-07,"Drumul Simona Ioniță Nr. 96, Berceni, 228084",0233 624 914,98:5b:6e:8d:22:c7,33.228.245.53,RO52XAVB7311519946697118,2025-06-18 17:21:48,16320,502,341,1327572,755e7ece-7b92-45f4-a30a-fe8716640a44
Aneta Diaconescu,anetadiaconescu,anetadiaconescu@acasa.ro,7680302384440,2004-09-06,"Strada Dima Nr. 51 Bl. 35  Sc. 25 Ap. 420, Giarmata, 587277",0771 774 843,ca:a2:9a:45:32:7e,187.248.198.57,RO79HGUD2728223861361403,2025-06-18 17:21:48,6939,613,675,540223,47546d78-a03c-4855-8984-9cd3a7a000d3
Anatolie Albu,anatoliealbu,anatoliealbu@gmail.com,7281003406640,2006-06-15,"Aleea Tomescu, Sinaia, 883597",0758 287 125,00:dc:88:27:1d:68,62.208.192.144,RO11BYSK7714106634815661,2025-06-18 17:21:48,579,221,23,355679,33d9c809-62f6-48c4-94c5-a9094b44aff1
Julieta Dobre,julietadobre,julietadobre@acasa.ro,1850214108306,1979-07-28,"Strada Pușcașu Nr. 66, Mizil, 377987",0234 467 179,c0:d4:7f:4e:9c:85,100.52.1.157,RO91HXJC9668505948485207,2025-06-18 17:21:48,35394,568,486,1298526,5b8293c7-956b-438f-8c99-08b5d256f518
Adi Tudor,aditudor,aditudor@zzup.ro,1930716441764,1969-06-22,"Strada Amza Suciu Nr. 10 Bl. 43  Sc. 44 Ap. 695, Remetea, 701834",0784 947 104,12:0e:17:5e:53:4f,222.8.232.174,RO91ZOFP9272822631844179,2025-06-18 17:21:48,4369,236,662,1341138,95dfbda5-779b-4a31-b1a8-13b4bb9df39c
Iridenta Ardelean,iridentaardelean,iridentaardelean@email.ro,2261113368217,2001-06-04,"Bulevardul Julieta Dochioiu, Gaesti, 182031",0764 753 692,00:32:d2:71:36:bf,79.240.170.82,RO34HTLL0574786406958567,2025-06-18 17:21:48,4248,647,763,914554,b5189fed-c47f-4ad7-aba1-05356dbbd47d
Diana Ababei,dianaababei,dianaababei@zzup.ro,2001109356258,2002-12-07,"Drumul Eftimie, Moisei, 648873",0744 234 272,0c:97:b8:66:c9:7d,159.48.143.8,RO16CRTL4703807685599029,2025-06-18 17:21:48,3700,550,711,514470,96677fae-fd9e-45c6-bdf7-439398aedab7
Nicușor Dobre,nicușordobre,nicușordobre@zzup.ro,7620415265101,1936-04-17,"Aleea Valter Ioniță Nr. 40 Bl. 96  Sc. 21 Ap. 852, Cisnadie, 933168",0721 021 841,2a:bd:c7:87:ad:55,180.104.60.18,RO32AAFG0505074241892727,2025-06-18 17:21:48,21964,506,327,1464874,1ce18b9a-b21f-47b5-bc0a-025d20d42197
Ionelia Albu,ioneliaalbu,ioneliaalbu@141.ro,6060813130325,1936-02-12,"Bulevardul Theodor Barbu Nr. 83, Baia Sprie, 253454",0752 887 695,b8:e1:c7:96:d8:90,171.82.14.143,RO17WDZH5771007899175680,2025-06-18 17:21:48,8701,16,492,988149,e8a0f4d8-836b-4d90-ac82-4ac5ab758e2d
Măriuca Nistor,măriucanistor,măriucanistor@kappa.ro,3560711193487,1970-01-21,"Intrarea Niță Nr. 609, Motatei, 604521",0252 491 387,a6:17:73:c5:96:1e,72.214.210.92,RO46NGSS5395908448395638,2025-06-18 17:21:48,3996,301,434,1444042,026f2f72-9645-4414-809b-4acb5f7b0229
Ernest Ardelean,ernestardelean,ernestardelean@gmail.com,5710507250160,2022-02-16,"Aleea Tudor Nr. 22 Bl. 38  Sc. 83 Ap. 146, Sacele, 110173",0239 454 566,4c:a5:40:d8:8a:ce,44.118.194.183,RO94VYSS9128308251968850,2025-06-18 17:21:48,35618,829,245,1306885,8df3fe87-0033-4e8a-b8c5-9f199a86c0b1
Nicuță Tabacu,nicuțătabacu,nicuțătabacu@post.ro,4060905396441,2019-04-21,"Drumul Popa Nr. 83 Bl. 93  Sc. 77 Ap. 727, Tandarei, 733862",0720 009 164,70:00:c9:59:02:3c,145.96.242.226,RO63LNMT1271783637741825,2025-06-18 17:21:48,26470,837,770,1574748,4e6b20eb-cb45-45aa-a08d-728a6741ca31
Arina Voinea,arinavoinea,arinavoinea@kappa.ro,2640224371246,1940-06-02,"Soseaua Dumitrescu Nr. 179 Bl. 83  Sc. 18 Ap. 252, Lumina, 682122",0738 301 466,30:e3:dc:c3:74:14,39.62.130.43,RO03ZRIA9329971386562733,2025-06-18 17:21:48,11153,209,287,952251,9ac1eb3d-9aa1-4b38-baf5-a6757e0e1df9
Dorin Georgescu,doringeorgescu,doringeorgescu@gmail.com,7111113265948,1987-02-16,"Soseaua Cristea Nr. 411 Bl. 39  Sc. 31 Ap. 618, Fetesti-Gara, 222677",0761 441 965,60:1d:a7:89:e9:9d,147.20.66.125,RO19UAYR5908386803589015,2025-06-18 17:21:48,11713,384,377,246328,b83ea17f-e77f-4e33-962c-4912cb9c1519
Teea Dobre,teeadobre,teeadobre@acasa.ro,1590120123146,2021-05-13,"Soseaua Sidonia Diaconescu Nr. 659 Bl. 75  Sc. 41 Ap. 285, Calan, 708617",0266 469 633,be:d0:8c:7f:c5:0d,164.1.30.71,RO95WQDP9567547296434736,2025-06-18 17:21:48,21796,194,512,957734,f0bb2766-9cc8-493a-8300-b19829974cdb
Haralamb Stancu,haralambstancu,haralambstancu@post.ro,1400513207247,1981-02-19,"Drumul Dima, Ludus, 693642",0724 166 994,1e:0a:48:7a:51:72,183.225.38.164,RO67BYSJ3397334397754993,2025-06-18 17:21:48,20743,492,554,1521989,c5bf8304-f098-4b82-803f-a6b66863757e
Dorian Florea,dorianflorea,dorianflorea@post.ro,5791027332286,1957-02-05,"Aleea Diaconu Nr. 152, Magurele, 630841",0255 592 934,46:a9:e5:18:ac:f4,68.219.65.0,RO23XKFA6909951785751029,2025-06-18 17:21:48,300,566,254,1581461,67419003-5f82-4df9-b88d-94d797c93665
Andreea Tudor,andreeatudor,andreeatudor@141.ro,5060706306806,1922-12-03,"Aleea Cristea, Victoria, 823343",0249 371 157,88:b8:69:fa:c3:e9,63.96.227.111,RO29EEDB6405105405848766,2025-06-18 17:21:48,13653,609,662,1000188,5e48ca7c-9170-41cb-8dc9-6e669e967f80
Caius Dima,caiusdima,caiusdima@email.ro,8920312386249,1937-07-12,"Soseaua Dima, Craiova, 273924",0242 845 706,46:81:f6:a0:f5:eb,164.190.172.221,RO93RJFE1462076149563743,2025-06-18 17:21:48,17890,380,135,1660130,3b53a6cd-11ef-4c7c-94ea-c37c846e1542
Vasile Georgescu,vasilegeorgescu,vasilegeorgescu@kappa.ro,5021102281267,2001-02-23,"Drumul Niță Nr. 735 Bl. 27  Sc. 28 Ap. 976, Craiova, 735106",0252 835 407,b4:92:b1:29:70:a3,87.100.109.207,RO98UIPV0659259194088080,2025-06-18 17:21:48,11537,530,500,1980892,f2e50fa3-547b-4712-b359-18e0ecce5f3e
Ina Ababei,inaababei,inaababei@kappa.ro,7970630313821,2021-04-02,"Strada Dumitrescu Nr. 60 Bl. 13  Sc. 86 Ap. 150, Salonta, 975370",0728 093 284,04:38:97:f7:fc:33,96.232.50.231,RO19ESCY2821257342423927,2025-06-18 17:21:48,25716,704,572,1242662,f4059a35-7290-4bfa-8dc7-2e64279da1e3
Sorina Ene,sorinaene,sorinaene@acasa.ro,7790729451481,1988-01-12,"Soseaua Oprea, Botosani, 565751",0731 323 154,9e:fc:b6:2e:9b:6a,68.115.202.47,RO50LYLS7117985236816913,2025-06-18 17:21:48,26822,902,194,1261171,1737c102-fbeb-4955-bfb4-866f7b268b1f
Corvin Georgescu,corvingeorgescu,corvingeorgescu@post.ro,4270525052924,2017-10-27,"Drumul Suciu Nr. 18, Dobroesti, 264043",0720 954 146,ae:95:4c:88:2f:92,108.116.182.24,RO85DDUR1838031646829538,2025-06-18 17:21:48,26412,17,741,586738,be43c3ed-92f9-42ff-83aa-2ea6b928a7eb
Ruxanda Mazilescu,ruxandamazilescu,ruxandamazilescu@kappa.ro,5250904124273,1970-02-01,"Soseaua Sandu Albu Nr. 843 Bl. 68  Sc. 44 Ap. 703, Oltenita, 348839",0233 086 149,8c:07:f3:aa:c3:28,218.44.225.214,RO43SRVV2290729355715589,2025-06-18 17:21:48,20776,936,369,500474,cafe5c45-fd1a-4384-bb69-056c47a43156
